level_id,trials_per_block,max_wait,max_mt,max_aborts,speakers,sound.abl.use_fixed_abl,sound.abl.change_every_trial,sound.ild.fully_lateralized,sound.ild.step_size,sound.ild.num_steps,sound.ild.use_log,sound.ild.log_base,iti.value,iti.can_reset,fixation_time.opto_exp_mean,fixation_time.sound_exp_mean,reaction_time.turn_sound_off,reaction_time.use_min_rt,reaction_time.use_max_rt,penalty_times.incorrect,penalty_times.abort,penalty_times.fixation_abort,critical_performance.value,critical_performance.use_performance,trial_repetition.repeat_errors,trial_repetition.repeat_aborts
1,10000,180,180,40,False,True,True,True,50,1,False,2,1,False,0,0,False,False,True,1,1,1,0.8,False,True,True
2,200,30,30,40,False,True,True,True,50,1,False,2,2,False,0,0,False,False,True,3,1,1,0.8,False,True,True
3,200,30,10,40,False,True,True,True,50,1,False,2,3,False,0,0,False,False,True,10,1,1,0.8,False,True,True
4,100,10,6,40,False,False,True,True,50,1,False,2,3,False,0,0,True,True,True,10,1,1,0.8,True,False,True
5,100,10,6,40,False,False,True,True,50,1,False,2,3,False,0,0,True,True,True,10,1,5,0.8,True,False,True
6,100,10,6,40,False,False,True,True,50,1,False,2,3,False,12.5,12.5,True,True,True,10,1,5,0.8,True,False,True
7,80,60,6,40,True,False,True,False,4.5,4,False,2,3,False,12.5,12.5,True,True,True,10,1,5,0.8,True,False,True
8,80,60,6,40,True,False,True,False,4,4,False,2,3,False,12.5,12.5,True,True,True,10,1,5,0.8,True,False,True
9,80,60,6,40,True,False,True,False,3.5,4,False,2,3,False,25,25,True,True,True,10,1,5,0.8,True,False,True
10,80,60,6,40,True,False,True,False,3,4,False,2,3,False,37.5,37.5,True,True,True,10,1,5,0.8,True,False,True
11,80,60,6,40,True,False,True,False,2.5,4,False,2,3,False,50,50,True,True,True,10,1,5,0.8,True,False,True
12,80,60,6,40,True,False,True,False,2,4,False,2,3,False,75,75,True,True,True,10,1,5,0.8,True,False,True
13,80,60,6,40,True,False,True,False,1,5,True,2,3,False,100,100,True,True,True,10,1,5,0.8,True,False,True
14,100,60,6,40,True,False,True,False,1,5,True,2,3,False,100,100,True,True,True,10,1,5,0.8,True,False,True
15,100,60,6,40,True,False,True,False,1,5,True,2,3,False,150,150,True,True,True,10,1,5,0.8,True,False,True
16,100,60,6,40,True,False,True,False,1,5,True,2,3,False,200,200,True,True,True,10,1,5,0.8,True,False,True
