Animal,Session,SessionType,Trial,Block,TrialsPerBlock,TrainingLevel,ABL,ILD,Bias,LeftAmp,RightAmp,WaveformL,WaveformR,TrialStart,TrialEnd,TrialDuration,IntendedITI,ITIStart,ITIEnd,TimedITI,MaxWait,TimeToCNP,BaseFix,ExpFixMean,IntendedFix,TimedFix,BaseRT,MaxRT,TimedRT,MaxMT,TimedMT,IntendedLNP,TimedLNP,ResponsePoke,Outcome,RepeatTrial,BlockPerformance,BlockAbortRatio,LEDTrial,TimedLED,LEDPowerL,LEDPowerR,Box
3,1,1,1,1,2,16,0,0,0.5,17,18,0,0,2354.617984,2375.816992,21.199008000000049,3,2351.6059839999998,2354.616,3.0100160000001779,60,0,10,0.074999999999999997,0,5.7623360000002322,0.01,5,5.6752639999999701,6,0,0.01,0,0,-3,0,0,0.5,13,14,15,16,0
3,1,1,2,1,2,16,0,0,0.5,17,18,0,0,2379.0320000000002,2390.5369919999998,11.504991999999675,3,2376.0239999999999,2379.0299839999998,3.0059839999998985,60,0,10,0.074999999999999997,0,0,0.01,5,0,6,0,0.01,0,0,-4,0,0,0.66666666666666663,13,14,15,16,0
3,1,1,3,1,2,16,0,0,0.5,17,18,0,0,2393.5729919999999,2422.8469759999998,29.273983999999928,3,2390.5649920000001,2393.570976,3.0059839999998985,60,24.093600000000151,0.20000000000000001,0.074999999999999997,10.102578996585205,1.6498559999999998,0.010999999999999999,5,1.6354559999999765,6,1.3977599999998347,0.01,0,1,1,0,0,0.5,13,14,15,16,0
3,1,1,4,1,2,16,0,0,0.5,17,18,0,0,2425.8800000000001,2434.7419839999998,8.8619839999996657,3,2422.8719999999998,2425.8779840000002,3.0059840000003533,60,1.4665279999999257,0.20000000000000001,0.074999999999999997,0.2141628254178036,3.7367039999999179,0.012,5,3.7352319999999963,6,1.6437120000000505,0.01,0,-1,1,0,0,0.40000000000000002,13,14,15,16,0
3,1,1,5,2,2,17,0,0,0.5,17,18,0,0,2437.7719999999999,2444.2049919999999,6.4329920000000129,3,2434.7689919999998,2437.769984,3.0009920000002239,60,1.0062720000000809,0.20000000000000001,0.074999999999999997,0.35379450414947844,1.9128959999998187,0.013000000000000001,5,1.911167999999634,6,1.5046400000001086,0.01,0,1,1,0,0,0,13,14,15,16,0
3,1,1,6,2,2,17,0,0,0.5,17,18,0,0,2447.2389760000001,2459.3129920000001,12.074016000000029,3,2444.2309759999998,2447.2369920000001,3.0060160000002725,60,4.3657920000000559,0.20000000000000001,0.074999999999999997,0.20562423816992836,1.8970239999998739,0.014000000000000002,5,1.8958080000002155,6,3.7954879999997502,0.01,0,-1,1,0,0,0,13,14,15,16,0
3,1,1,7,3,2,18,0,0,0.5,17,18,0,0,2462.3419840000001,2470.1629760000001,7.8209919999999329,3,2459.338976,2462.3400000000001,3.0010240000001431,60,1.8487999999997555,0.20000000000000001,0.074999999999999997,0.42407258899661615,2.3695040000002336,0.015000000000000003,5,2.3682880000001205,6,1.5918719999999666,0.01,0,1,1,0,0,0,13,14,15,16,0
3,1,1,8,3,2,18,0,0,0.5,17,18,0,0,2473.200992,2476.557984,3.3569919999999911,3,2470.1949760000002,2473.1989760000001,3.0039999999999054,60,0.93663999999989755,0.20000000000000001,0.074999999999999997,0.21395026251153126,1.1835839999998825,0.016000000000000004,5,1.1822399999996378,6,1.1700479999999516,0.01,0.042976000000180647,1,2,0,0.5,0,13,14,15,16,0
3,1,1,9,4,2,19,0,0,0.5,17,18,0,0,2479.6059839999998,2488.6569920000002,9.0510080000003654,3,2476.5929919999999,2479.6039999999998,3.0110079999999471,60,6.1901440000001458,0.20000000000000001,0.074999999999999997,0.37644409065168344,1.341856000000007,0.017000000000000005,5,1.3400000000001455,6,1.5013760000001639,0.01,0.01763200000004872,-1,2,0,1,0,13,14,15,16,0
3,1,1,10,4,2,19,0,0,0.5,17,18,0,0,2491.7049919999999,2502.616,10.911008000000038,3,2488.693984,2491.702976,3.0089920000000347,60,8.0451520000001437,0.20000000000000001,0.074999999999999997,0.34162801535938037,1.6503680000000713,0.018000000000000006,5,1.6485120000002098,6,1.1973439999997026,0.01,0.018144000000120286,-1,2,0,1,0,13,14,15,16,0
3,1,1,11,5,2,20,0,0,0.5,17,18,0,0,2505.6599999999999,2528.1589760000002,22.498976000000312,3,2502.6459840000002,2505.6579839999999,3.0119999999997162,60,16.561664000000292,0.20000000000000001,0.074999999999999997,0.26802212439685402,3.9098239999998441,0.019000000000000006,5,3.9085119999999733,6,2.004128000000037,0.01,0.023360000000138825,-1,2,0,1,0,13,14,15,16,0
3,1,1,12,5,2,20,0,0,0.5,17,18,0,0,2531.1959999999999,2592.2179839999999,61.021983999999975,3,2528.186976,2531.193984,3.0070080000000416,60,0,0.20000000000000001,0.074999999999999997,0,0,0.019000000000000006,5,0,6,0,0.01,0,0,-1,0,1,0.5,13,14,15,16,0
3,1,1,13,5,2,20,0,0,0.5,17,18,0,0,2595.2509759999998,2656.2669759999999,61.016000000000076,3,2592.2459840000001,2595.2489919999998,3.0030079999996815,60,0,0.20000000000000001,0.074999999999999997,0,0,0.019000000000000006,5,0,6,0,0.01,0,0,-1,0,1,0.66666666666666663,13,14,15,16,0
